train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/gradient_layer_0,train/gradient_layer_1,train/gradient_layer_2,train/gradient_layer_3,train/gradient_layer_4,train/gradient_layer_5,train/gradient_layer_6,train/gradient_layer_7,train/gradient_layer_8,train/gradient_layer_9,train/gradient_layer_10,train/gradient_layer_11,train/n_updates,train/clip_range
0.0003,-0.679255498573184,-0.005621012860501651,65.83250188827515,0.00201696,0.00048828125,25.111244201660156,3.023426,0.015697708,11.405935,0.01701399,2.862618,0.9659985,13.979977,0.6771384,0.28773716,0.0036900905,2.0478396,0.0658424,11,0.2
0.0003,-0.6756241327772537,-0.0077190487694072845,60.06833283106486,0.005222775,0.012044270833333334,23.291616439819336,3.0427802,0.02520431,11.418004,0.025535127,2.87092,1.0332949,14.289387,0.7133912,0.3101335,0.005237464,2.1606243,0.070240766,12,0.2
0.0003,-0.6735590794123709,-0.009056414073711494,55.77203071117401,0.005630439,0.0185546875,27.798288345336914,3.066376,0.03749471,11.429936,0.03619081,2.9054286,1.0786513,14.543163,0.73552907,0.32249525,0.0069990293,2.2602744,0.07407131,13,0.2
0.0003,-0.6722996164113283,-0.00999038333829958,52.69402825832367,0.0056436174,0.02236328125,18.62851333618164,3.0978966,0.02925341,11.448259,0.027422039,2.9677184,1.0915725,14.705719,0.73894095,0.3454549,0.0050802627,2.3284051,0.07641496,14,0.2
0.0003,-0.6714920662343502,-0.01073918979333636,50.33253447214762,0.005591989,0.025309244791666668,14.118452072143555,3.127581,0.03316171,11.465376,0.025037182,3.036341,1.0919322,14.833564,0.7364423,0.36381868,0.003451586,2.375593,0.077854775,15,0.2
0.0003,-0.6705802474170923,-0.01134569956463695,48.40192520618439,0.0067551685,0.029296875,15.629714965820312,3.156983,0.045084167,11.481149,0.036697656,3.1025028,1.088654,14.956634,0.73266184,0.375305,0.0062182364,2.4165983,0.07897599,16,0.2
0.0003,-0.6701200536917895,-0.011973491918979562,46.76938559114933,0.005965179,0.03076171875,19.943653106689453,3.171956,0.043927737,11.491985,0.037070714,3.1595547,1.0934285,15.096433,0.7339236,0.38252208,0.0065163444,2.4661975,0.0806134,17,0.2
0.0003,-0.6695517309837871,-0.01254908851600097,45.37537576092614,0.0068893484,0.033528645833333336,16.770456314086914,3.1830277,0.04742967,11.499231,0.034833606,3.2102451,1.0919608,15.203752,0.732383,0.3810682,0.0053056614,2.4967282,0.08136754,18,0.2
0.0003,-0.6689899429678917,-0.012999258491618093,44.16925152540207,0.007423058,0.03583984375,14.931517601013184,3.1959999,0.048273183,11.508878,0.033886313,3.2596571,1.0921041,15.307098,0.73199314,0.3789081,0.0048974343,2.5327737,0.08250782,19,0.2
0.0003,-0.6584090292453766,-0.008778962917858735,78.26891708374023,0.0012735792,0.0009765625,37.87891387939453,3.2095945,0.0476523,11.521671,0.03623561,3.2642288,1.1446255,15.499151,0.7606267,0.39427644,0.005971768,2.60954,0.086521775,20,0.2
